station_name,station_full_name,station_zone,station_address
EDG,EDEN GARDEN,ER,"Eden Garden, Hosur, Tamil Nadu, India"
EDN,EDAMANN,SR,"Edamon, Kerala, India"
EDP,EDAPALAYAM HALT,SR,"691309, India"
EDU,ERIODU,SR,"Government Hospital, Ayyalur Rd, Tamil.."
EE,ELURU,SCR,"Eluru Railway Station, Eluru, Andhra P.."
EGT,EGATTUR,SR,"Egattur, Tamil Nadu 631203, India"
EGU,IRANAGALLU,SCR,"Warangal, Andhra Pradesh, India"
EKC,EKCHARI,ER,"Bhagalpur, Bihar, India"
EKH,EKSARI,ECR,"Eksari, Bihar 811105, India"
EKI,EKLAKHI,NFR,"Eklakhi, West Bengal, India"
EKL,EKDIL,NCR,"Ekdil, Uttar Pradesh, India"
EKM,EKAMBARAKUPPAM,SR,"Chittoor, Andhra Pradesh, India"
EKMA,EKMA,NER,"Bihar, India"
EKN,EZHUKONE,SR,"Ezhukone, Kerala, India"
EKNR,EKTA NAGAR,WR,"Kevadiya, Gujarat 393151, India"
EKR,EKANGARSARAI,ECR,"Nalanda, Bihar, India"
EL,ELAMANUR,SR,"Elamanur, NH 67, Thirupparaithurai, Ta.."
ELL,ERALIGUL,NFR,"Kabaribond Pt II, Assam 788724, India"
ELM,ELIMALA,SR,"Thekkumbad, Kerala, India"
ELR,ELAVUR,SR,"Elavur, Tamil Nadu, India"
EN,ISAND,WR,"Gandhinagar, Gujarat, India"
ENB,ELLENABAD,NWR,"Ellenabad, Haryana, India"
ENR,ENNORE,SR,"Parry Road, Gandhi Nagar, Ennore, Chen.."
ERC,ERICH ROAD,NCR,"Poonchh, Uttar Pradesh 284306, India"
ERL,ERANIEL,SR,"Eraniel, Tamil Nadu, India"
ERN,ERNAKULAM TOWN,SR,"Ernakulam Town, Xavier Arakkal Road, A.."
ERS,ERNAKULAM JN,SR,"Karshaka Road, Elamkulam, Ernakulam, K.."
ESV,ISIVI,SCR,"Isivi Station, Andhra Pradesh, India"
ET,ITARSI JN,WCR,"Itarsi Junction Railway Station, Itars.."
ETAH,ETAH,NCR,"Etah - Kasganj Road, Etah, Uttar Prade.."
ETK,ETAKKOT,SR,"Kachin, Burma"
ETM,ETTUMANUR,SR,"Kerala, India"
ETMD,ETTIMADAI,SR,"Ettimadai, Tamil Nadu, India"
ETP,ETTAPUR ROAD,SR,"Partapur Rd, Partapur, Uttar Pradesh, .."
ETR,ELATTUR,SR,Elatt Cape
ETUE,ETMADPUR,NCR,"Firozabad, Uttar Pradesh, India"
ETW,ETAWAH,NCR,"Etawah, Uttar Pradesh, India"
EVA,EDAVAI,SR,"Edava Kunnumpuram Rd, Vettakada, Edava.."
EZP,EZHUPUNNA,SR,"Ezhupunna, Kerala, India"
FA,FALNA,NWR,"Falna Railway Station, Falna, Rajastha.."
FAB,FATEHABAD,NCR,"Fatehabad, Uttar Pradesh 283111, India"
FAH,FATEHA H,ECR,"Bihar, India"
FAN,FATEHNAGAR,NWR,"Fatehnagar, Rajasthan, India"
FAP,FAKHARPUR H,NR,"Fakharpur, Uttar Pradesh, India"
FAR,FARAH,NCR,"Farah, Uttar Pradesh, India"
FBD,FARRUKHABAD,NER,"Thandi Sadak Station Road, Farrukhabad.."
FBG,FORBESGANJ,NFR,"Forbesganj, Bihar, India"
FDB,FARIDABAD,NR,"121003, India"
FDK,FARIDKOT,NR,"Faridkot, Punjab, India"
FDN,FARIDABAD NW TN,NR,"Faridabad, Haryana 121001, India"
FGCN,FATEHGARH CHURIAN,NR,"Fatehgarh Churian, Punjab, India"
FGH,FATEHGARH HARYANA,NWR,"Fatehgarh, Punjab, India"
FGR,FATEHGARH,NER,"Fatehgarh, Uttar Pradesh, India"
FGSB,FATEHGARH SAHIB,NR,"Punjab 140407, India"
FHT,FARAH TOWN,NCR,"Farah, Uttar Pradesh, India"
FK,FEROK,SR,"Feroke Railway Station, Feroke, Kerala.."
FKA,FAZILKA,NR,"Fazilka Railway Station, Fazilka, Punj.."
FKB,FAKHRABAD,SCR,"Fakhrabad, Basara Rd, Maharashtra, India"
FKG,FURKATING JN,NFR,"Forkating Jn, Furkating, Assam, India"
FKM,FAKIRAGRAM JN,NFR,"Assam 783345, India"
FL,PHULERA JN,NWR,"Phulera Railway Station, Rajasthan, In.."
FLCK,FAZALCHAK,ECR,"Patna, Bihar 804451, India"
FLD,PHULAD,NWR,"Phulad, Rajasthan, India"
FLK,FALAKATA,NFR,"Falakata Railway Station, Rabindra Nag.."
FLM,FALIMARI,NFR,"Cooch Behar, West Bengal, India"
FLR,PHULESWAR,SER,"National Highway 6, Uluberia, West Ben.."
FLU,PHULIA,ER,"Dhule, Maharashtra, India"
FM,KCG FALAKNUMA,SCR,"Falaknuma, Hyderabad, Andhra Pradesh, .."
FN,FARUKHNAGAR,NR,"Virudhunagar, Tamil Nadu, India"
FNB,FATEHNAGAR BRIDGE,SCR,"Shastri Nagar, Fatehnagar, Begumpet, H.."
FNO,FUNGO H,ECR,"Dhamara Ghat, Bihar 852127, India"
FPAW,FATEHPUR ATWA HALT,NER,"Kotawalipur, Uttar Pradesh 233001, India"
FPMP,FATEHPUR MAKRANDPUR,NCR,"Mahepa Jagir, Uttar Pradesh 203202, In.."
FPS,FATEHPUR SKHWTI,NWR,"Raghunathpura Bus Stand, National High.."
FRD,FARHEDI H,NR,"Moradabad, Uttar Pradesh, India"
FRDH,FARIDAHA,NER,"Faridabad, Haryana, India"
FRH,FARHANTNAGAR,NR,"Shantinagar, Andhra Pradesh, India"
FSG,PHURSUNGI,CR,"Wadki, Maharashtra 412308, India"
FSP,FATEH SINGHPURA,WCR,"Rajasthan, India"
FSR,FAQARSAR,NR,"Fakarsar, Punjab, India"
FSW,FATEH SINGHWALA,NWR,
FTC,FATEHPUR CHAURASI,NR,"Fatehpur Chaurasi, Uttar Pradesh, India"
FTD,FATEHABAD CH.JN,WR,"Fatehabad, Madhya Pradesh, India"
FTG,FURSATGANJ,NR,"Fursatganj, Uttar Pradesh, India"
FTH,FATUHI,NR,"Fatwah, Bihar, India"
FTP,FATEHPUR,NCR,"Krishna Colony, Harihar Ganj, Fatehpur.."
FTS,FATEHPUR SIKRI,NCR,"Bharatpur, Rajasthan, India"
FUT,FATUHA JN,ECR,"Fatuha, Bihar 803201, India"
FYZ,FAIZULLAPUR,NCR,"Allapur, Uttar Pradesh, India"
FZD,FIROZABAD,NCR,"Firozabad, Uttar Pradesh, India"
FZGH,FEROZGUDA HALT,SCR,"Ferozguda, Bowenpally, PIN - 500042, H.."
FZL,FAZALPUR,NR,"Fazalpur, West Bengal, India"
FZP,FIROZPUR CITY,NR,"Ferozepur Railway Station, Ferozepur, .."
FZR,FIROZPUR CANT,NR,"Ferozepur Cantonment Railway Station, .."
G,GONDIA JN,SECR,"Gondia Junction Railway Station, Rail .."
GA,GUDHA,NWR,"Gudha, Rajasthan, India"
GAA,GALAN,CR,"Galan, Maharashtra, India"
GAD,GEVRA ROAD,SECR,"Gevra-Kusmunda Rd, Kuchaina, Chhattisg.."
GADH,GOALDIH,ECOR,"Kendujhar, Orissa, India"
GADJ,GANDHINAGAR JPR,NWR,"Shanti Niketan Colony, Tonk Phatak, Ja.."
GADM,GANGA DHAM,NER,"Ganga Dham, Burhanj Baug-B Colony, Bib.."
GAE,GAIPURA,NCR,"Gaipura, Uttar Pradesh, India"
GAG,GANGAGHAT,SER,"Ranaghat, West Bengal, India"
GAGA,GALGALIA,NFR,"Galgalia Railway Station, Bihar, India"
GAH,GAWNAHA,ECR,"Guwahati, Assam, India"
GAHT,GHUSIA HALT,ECR,"Ghusia Halt, Ghosiya Khurd, Bihar 8022.."
GAI,GAUCHHARI,ECR,"Ochhari, Rajasthan, India"
GAJ,GANESHGANJ,WCR,"Ganeshganj, Madhya Pradesh, India"
GAJB,GAJARA BAHARA,WCR,"Gajara Bahara, Madhya Pradesh 486886, .."
GAJU,GAJU H,NR,"Hardoi, Uttar Pradesh, India"
GAL,GHATALA,NWR,"Hatala, Maharashtra, India"
GALE,GANKAR,ER,"Mirzapur Gankar, West Bengal, India"
GAM,GANJAM,ECOR,"Ganjam Railway Station, Ganjam, Odisha.."
GAMI,GOGAMERI,NWR,"Goga Medi, Rajasthan, India"
GAMN,GAMANI,NFR,"Gamani Station Rd, 784102"
GANG,GANGAGANJ,NR,"Rae Bareli, Uttar Pradesh, India"
GANL,GHANAULI,NR,"Punjab 140113, India"
GAO,GAIGAON,CR,"Naigaon West, Maharashtra, India"
GAP,GURPA,ECR,"Gurpa, Bihar, India"
GAQ,GANJ KWAJA,ECR,"Tour Ajmer , Khwaja Garib Nawaz, Darga.."
GAR,GADARWARA,WCR,"Narsinghpur, Madhya Pradesh, India"
GARA,GARHA,ECR,"Garha, Bahilwara urf Garha, Bihar 8433.."
GATD,GAUTAMDHARA,SER,"Gautam Marg, Jaipur, Rajasthan, India"
GATL,GHATOLI,WCR,"Ghatoli, Aklera, PIN - 326039, Dist. -.."
GAUR,GAUR,NER,"Gaur, Uttar Pradesh, India"
GAW,GAINJAHWA,NER,"Balrampur, Uttar Pradesh, India"
GAYA,GAYA JN,ECR,"Gaya Railway Station, Gaya, Bihar, India"
GB,GAURI BAZAR,NER,"Deoria, Uttar Pradesh, India"
GBA,GARHBETA,SER,"Garbeta, West Bengal, India"
GBB,GUBBI,SWR,"Gubbi, Karnataka, India"
GBD,GAURIBIDANUR,SWR,"Gauribidanur, Karnataka, India"
GBE,GAYABARI,NFR,"Hill Cart Rd, Cart Road, West Bengal 7.."
GBG,GOBARDANGA,ER,"Gobardanga, West Bengal, India"
GBHA,GAROBIGHA H,ECR,"Dhanawan, Bihar 805103, India"
GBK,GOPALPUR BALIKUDA,ECOR,"Balikuda, Gopalpur, Odisha, India"
GBN,GARH BANALI,NFR,"Garh Banaili, NH 57, Saraunchia, Bihar.."
