station_name,station_full_name,station_zone,station_address
LSGS,LAVAN SATYAGRAH SMARAK P H,SER,"East Medinipur, West Bengal, India"
LSI,LAHERIA SARAI,ECR,"Laheriasarai, Bihar, India"
LSMP,LAKSHMAPUR,SCR,"Laxmapur, Dist. - Medak State: Telangana"
LSR,LASUR,SCR,"Aurangabad, Maharashtra, India"
LSX,LOISINGHA,ECOR,"Balangir, Orissa, India"
LT,LAHAVIT,CR,"Lahavit, Maharashtra, India"
LTA,LAMTA,SECR,"Lamta, Madhya Pradesh, India"
LTD,LATHIDAD,WR,"Lathidad, Gujarat, India"
LTG,LATAGURI JN,NFR,"Lataguri, West Bengal, India"
LTHR,LATEHAR,ECR,"Jharkhand 829207, India"
LTI,LATTERI,SR,"Latteri, Tamil Nadu, India"
LTK,LATHIKATA,SER,"Lattikata, Odisha, India"
LTKR,LALIT KHERA HALT,NR,"Lalit Khera, Haryana 126101, India"
LTMD,LATEMDA,SER,"Bakar Kuri, Jharkhand 832403, India"
LTR,LAKHTAR,WR,"Surendranagar, Gujarat, India"
LTRR,LATUR ROAD,SCR,"Latur, Maharashtra, India"
LTT,LOKMANYATILAK T,CR,"Tilak Nagar, Kurla, Mumbai, Maharashtr.."
LUA,LALAURI KHERA,NER,"Pilibhit, Uttar Pradesh, India"
LUBA,LACHHU BIGHA,ECR,
LUNI,LUNI JN,NWR,"Luni, Rajasthan, India"
LUR,LATUR,CR,"Latur, Maharashtra, India"
LUSA,LUSA,NCR,"Sonbhadra, Uttar Pradesh, India"
LVR,LOK VIDYAPITH NAGAR H,NER,"Uttar Pradesh, India"
LW,LORWADA,WR,"Gujarat, India"
LWJ,LOWJEE,CR,"Lowjee, Khopoli, Maharashtra, India"
LWR,ALNAVAR JN,SWR,"Alnavar Junction, Alnavar, Karnataka, .."
LWS,LUKWASA,WCR,"Lukwasa, Madhya Pradesh, India"
LXA,LAKSWA,NFR,"Naharhabi Grant and Lakwa Rly, Assam, .."
LXD,LAKSHANNATH ROAD,SER,"Lakshamveedu Rd, Vadasserikkara, Keral.."
LXMP,LAKSHMIPUR BIHAR,NFR,"Lakshmi Pur, Bihar 854331, India"
LXR,LUNSERIYA,WR,"Gujarat, India"
LYD,LAYABAD,SER,"Nayabad, Kolkata, West Bengal, India"
MA,MADHA,CR,"Madha, Maharashtra, India"
MAA,MAVAL,NWR,"Wadgaon Maval Phata, Vadgaon, Maharash.."
MAAR,MALHAR,NWR,"Malhar, Rajasthan, India"
MABA,MANDI BAMORA,WCR,"Mandi Bamora Station, Mandi Bamora, Ma.."
MABB,MABBI H,ECR,"Sihma - Mabbi - Rosera Ghat Rd, Mohiud.."
MABD,MAHBUBABAD,SCR,"Mahbubabad Railway Station, Mahabubaba.."
MABM,M AHORWA B DHAM,NR,"Akbarganj, Uttar Pradesh, India"
MABN,MABAN,WCR,"Singwasa, Madhya Pradesh 473001, India"
MACI,MARACHI HALT,ECR,"Bihar, India"
MACR,MANGULI CHOUDWAR PH,ECOR,"Odisha, India"
MAD,MADDUR,SWR,"Maddur Railway Station, Karnataka, India"
MADA,MAONDA,NWR,"Lower Monda Verinag Rd, 192101"
MADM,MATHRADAM HALT,SECR,"Chhindwara-Seoni Rd, Katalbodi, Madhya.."
MADR,MADURE,KR,"Sindhudurg, Maharashtra, India"
MADU,MADDURU,SCR,"Madduru, Andhra Pradesh 518112, India"
MAE,MATHERAN,CR,"Matheran, Maharashtra, India"
MAEL,MAEL,SER,"Mael, Jharkhand, India"
MAF,MANAVUR,SR,"Manavur, Tamil Nadu, India"
MAG,MANGALAGIRI,SCR,"Mangalagiri, Andhra Pradesh, India"
MAGH,MANIKGARH,SCR,"Manikgarh, Maharashtra, India"
MAH,MADHOGANJ,NR,"Madhoganj, Uttar Pradesh, India"
MAHE,MAHE,SR,"Mahe Railway Station, Mahe, Kerala, In.."
MAHI,MAHIPUR,ECOR,"Bhiruda, Mahipur, PIN - 752094, DIst. .."
MAHM,MEHAM,NR,"Meham, PIN - 124112, Dist. - Rohtak St.."
MAHO,MAHOLI,NR,"Sitapur, Uttar Pradesh, India"
MAI,MEHSI,ECR,"Muzaffarpur, Bihar, India"
MAJ,MAJHERGRAM,ER,"Jhargram, West Bengal, India"
MAJN,MANGALORE JN,SR,"Mangalore Bangalore Highway, Shanthi N.."
MAK,MALIKPUR,ER,"Malkapur, Maharashtra, India"
MAKH,MOKHAMPURA,NWR,"Mokhampura, Rajasthan, India"
MAKM,MARARIKULAM,SR,"Marrarikulam Temple Road, Mararikulam,.."
MAKP,MANIKPURA HALT,NCR,"SH 62, Basai Arela, Uttar Pradesh 2831.."
MAKR,BINA MALKHEDI JN,WCR,"Walkheda, Maharashtra, India"
MALA,MALA,NER,"Mala, Kerala, India"
MALB,MALIYA MIYANA JN,WR,"Malia Railway Station, Malia, Gujarat,.."
MALK,MALKAPUR ROAD,CR,"Malkapur Rd, Karimnagar, Andhra Prades.."
MALM,MANTHRALAYAM RD,SCR,"Kurnool, Andhra Pradesh, India"
MALR,MALLUR,SR,"Mallur Railway Station, Tamil Nadu 636.."
MALX,MALIYA,WR,"Malia Railway Station, Malia, Gujarat,.."
MAM,MANGAL MAHUDI,WR,"Dahod, Gujarat, India"
MAN,MANINAGAR,WR,"Maninagar, Ahmedabad, Gujarat, India"
MANA,MANA,CR,"Mana, Uttarakhand, India"
MANE,MANESWAR,ECOR,"Banswara, Rajasthan, India"
MANI,MANI NAGAR,ECR,"Ara - Sasaram Rd, Lachhmanpur, Bihar 8.."
MANK,MANKI,KR,"Pedestrian Overpass, Karnataka, India"
MANR,MANSAROVAR,CR,"Mansarovar Railway Station, Kamothe, N.."
MANU,MONU,NFR,"Dhalai, Tripura, India"
MANW,MANWA H,NER,"Mandi Manva, National Highway 21, Hima.."
MAO,MADGAON,KR,"Goa 403601, India"
MAP,MORAPPUR,SR,"Dharmapuri, Tamil Nadu, India"
MAQ,MANGALORE CNTL,SR,"Mangalore Central Railway Station, Man.."
MAR,MULANUR,SWR,"Mulanur Station, Andhra Pradesh, India"
MARD,MAVUR ROAD,SR,"Mavoor Rd, Kozhikode, Kerala, India"
MAS,CHENNAI CENTRAL,SR,"General Hospital Road, Park Town, Chen.."
MASK,MAISAR KHANA,NR,"Punjab 151509, India"
MASS,CHENNAI CTRL SUBURBAN,SR,
MAU,MAU JN,NER,"Mau, Uttar Pradesh, India"
MAUL,MAULI,NR,"Punjab 144632, India"
MAUR,MAUR,NR,"Maur, Punjab, India"
MAX,MANGUDI,SR,"Mangudi, Tamil Nadu, India"
MAY,MARIAHU,NR,"Mariahu, Uttar Pradesh, India"
MAYA,MAKAKHAD,WR,"Mansa - Badpura Rd, Pratap Nagar, Guja.."
MAYP,MAYAPUR,ER,"Mayapur, West Bengal 712413, India"
MAYR,MAYAR,NWR,"Hisar, Haryana, India"
MAZ,MANGRA,ECR,"Mangra, Bihar, India"
MB,MORADABAD,NR,"Moradabad Railway Station, National Hi.."
MBA,MAHOBA JN,NCR,"Mahoba Railway Station, Mahoba, Uttar .."
MBAH,MIRABIGHA HALT,ECR,"Kohara, Bihar 804427, India"
MBB,MURSHIDABAD,ER,"Lalbagh, West Bengal, India"
MBC,MAHANANDA BRIDGE,NFR,"Mahananda Bridge, Maharajpur, West Ben.."
MBD,MUSTABADA,SCR,"Mustabad, Andhra Pradesh, India"
MBDD,MAA BARAHI DEVI DHAM,NR,"Pratapgarh, Uttar Pradesh, India"
MBDP,MA BELHADEVI PRATAPGARH JN,NR,"Bela, Pratapgarh, Uttar Pradesh, India"
MBE,MIRZAPUR BANKIPUR,ER,"Mirzapur Bankipur, West Bengal"
MBF,MUNABAO,NWR,"Barmer, Rajasthan, India"
MBG,MAIBANG,NFR,"Assam 788831, India"
MBGA,MARWAR BAGRA,NWR,"Bagra, Rajasthan, India"
MBH,MOBHA ROAD,WR,"Mobha Road Railway Station, Gujarat, I.."
MBI,MADHUBANI,ECR,"Madhubani, Bihar, India"
MBL,MANUBOLU,SCR,"Great Northern Trunk Road, Andhra Prad.."
MBLP,MAH BIJLI PASI,NR,"Jagdishpur, Uttar Pradesh, India"
MBM,MAMBALAM,SR,"West Mambalam, Chennai, Tamil Nadu, In.."
MBNL,MARWAR BHINMAL,NWR,"Marwar Bhinmal, State Highway 31, Bhin.."
MBNR,MAHBUBNAGAR,SCR,"Mahbubnagar Railway Station, Mahbubnag.."
MBO,MAIRABARI,NFR,"Mardabari, Nadiad, Gujarat 387001, India"
MBP,MOHIBULLAPUR,NER,"Kolhapur, Maharashtra, India"
MBQ,MUMBRA,CR,"Mumbra, Mumbra - Kausa, Maharashtra, I.."
MBS,MADHOSINGH,NER,"Madhubani, Uttar Pradesh, India"
MBSK,MARWAR BALIA,NWR,"Nagaur, Rajasthan, India"
MBT,MARWAR BITHRI,NWR,"Jodhpur, Rajasthan, India"
MBU,MELPATTAMBAKKAM,SR,"Meenambakkam, Tamil Nadu, India"
MBV,MIRZAPUR BACHHAU,NWR,"Mirzapur, Uttar Pradesh, India"
MBW,MALWARA,NWR,"Maliwara, Ghaziabad, Uttar Pradesh, In.."
MBY,MANDI DABWALI,NWR,"Mandi Dabwali, Haryana, India"
MC,MANDAPAM CAMP,SR,"Mandapam Camp, Kundannoor - Willington.."
MCA,MECHEDA,SER,"Mecheda, West Bengal"
MCDA,MA CHANDIKADEVI D ANTU,NR,"Pratapgarh, Uttar Pradesh, India"
MCF,MANIK CHAURI,SECR,"Manikchauri, Chhattisgarh, India"
MCI,MANCHIRYAL,SCR,"Manchiryal Railway Station, Mancherial.."
MCJ,MANJATTIDAL,SR,"Manjarde, Maharashtra, India"
MCL,MADIMANGALAM,SR,"Madimangalam, Tamil Nadu 606907, India"
MCLA,MACHERLA,SCR,"PWD Colony Road, Macherla, Andhra Prad.."
MCLE,MANCHILI,SCR,"West Godavari, Andhra Pradesh, India"
MCN,MUKUNDARAYAPURM,SR,"Mukundapuram, Andhra Pradesh, India"
MCO,MOTIHARI COURT,ECR,"Motihari, Bihar, India"
MCPE,MARWAR CHAPRI,NWR,"Nagaur, Rajasthan, India"
MCPK,CHEPAUK,SR,"Chepauk, Victoria Hostel Rd, Triplican.."
MCPT,CHINTADARIPET,SR,"Chintadripet MRTS Station, Arunachala .."
MCQ,MIRCHADHORI,ECR,"Sidhi, Madhya Pradesh, India"
MCRD,MECHERI ROAD,SR,"Omalur-Mecheri Rd, Tamil Nadu, India"
MCS,MANCHESWAR,ECOR,"Bhubaneshwar, Orissa, India"
MCSC,CHHATARPUR,NCR,"Chandrapura, Madhya Pradesh, India"
MCTM,MTYR C TUSHAR MAHAJAN,NR,
MCU,MULACALACHERUVU,SCR,"Putlacheruvu, Andhra Pradesh, India"
MCV,MACHARYA,NR,"Moradabad, Uttar Pradesh, India"
MCVM,MACHAVARAM,SCR,"G.B.C. Road, Chintalapudi, Andhra Prad.."
MCY,MACHRIAWAN H,ECR,"NH431, Bankipur Machhariawan, Bihar 80.."
MCZ,MAHABUANG,SER,"Barbera, Jharkhand 835201, India"
MDA,MANDHANA JN,NER,"National Highway 91, Mandhana, Uttar P.."
MDAK,MEDAK,SCR,"Chaman Road, Chaman, Arabgalli, Medak,.."
MDB,MANDOR,NWR,"Mandore, Rajasthan, India"
MDBP,MADHABPUR H,ER,"Madhabpur, Assam, India"
MDC,MAKARDAHA,SER,"Makardah, West Bengal, India"
MDCR,MASAUDHI COURT H,ECR,"Bihar 804452, India"
MDD,MALAD,WR,"Malad East Bus Depot, Poddar Road, Mal.."
MDDG,MALADGAON,CR,"Malegaon, Maharashtra, India"
MDDP,MANDI DIP,WCR,"Mandideep, Madhya Pradesh, India"
MDE,MAKHDUMPUR GAYA,ECR,"Makhdumpur, Bihar, India"
MDF,MURADI,SER,"Muradi Rd, New Delhi, Delhi, India"
MDG,MANDALGHAT,NFR,"Station Road, West Bengal 735132, India"
MDGR,MANENDRAGARH,SECR,"Railway Colony, Manendragarh, Madhya P.."
MDH,MANDHAR,SECR,"Pathari - Boharhi, Chhattisgarh, India"
MDHA,MADHADA,WR,"Madhya Pradesh, India"
MDJ,MUHAMMADGANJ,ECR,"Jharkhand, India"
MDJN,MADAR JN,NWR,"Madar Railway Station, Ajmer, Rajastha.."
MDKD,MADHUKUNDA,SER,"Madhuban, Uttar Pradesh, India"
MDKI,MADUKARAI,SR,"Madukkarai, Coimbatore, Tamil Nadu, In.."
MDKM,MADATTUKULAM,SR,"Tamil Nadu 642113, India"
MDKU,MODUKURU,SCR,"Guntur, Andhra Pradesh, India"
MDL,MANDAL,NWR,"Mandal, Rajasthan, India"
MDLA,MUDLANA,NR,"Mudlana Railway Station, Mundlana, Har.."
MDLE,MANDAR HILL,ER,"Ghoga Panjwara Bounsi Road, Panda Tola.."
MDLL,MUDDALINGANAHALLI H,SWR,"Muddanahally, Karnataka, India"
MDN,MIDNAPORE,SER,"Rangamati, Medinipur, West Bengal, India"
MDNR,MODINAGAR,NR,"Modinagar, Uttar Pradesh, India"
MDP,MADHUPUR JN,ER,"Madhupur, Jharkhand, India"
MDPA,MANDPIYA,NWR,"Mandpiya, Rajasthan, India"
MDPB,MADHOPUR PUNJAB,NR,"Madhopur, Punjab, India"
MDPD,MANDAPADU,SCR,"Siripuram Road, Siripuram, Andhra Prad.."
MDPJ,MADANAPUR H,SCR,"Madanapur, Andhra Pradesh, India"
MDPR,MODPUR,WR,"Gujarat, India"
MDR,MADHIRA,SCR,"Madhira, Andhra Pradesh, India"
MDRA,MEDRA,WR,"Gujarat 382355, India"
MDRR,MADHAVNAGAR ROAD,WCR,"Madhavachar Rd, Mysuru, Karnataka, India"
MDS,MANDASOR,WR,"Mandsaur, Madhya Pradesh, India"
MDSA,MODASA,WR,"Modasa, Gujarat, India"
MDSE,MADHU SUDANPUR,ER,"Bhola Road, West Bengal, India"
MDT,MADARIHAT,NFR,"Madarihat, West Bengal, India"
MDU,MADURAI JN,SR,"Madurai Railway Junction, Southern Rai.."
MDUN,MADHURANAGAR,SCR,"Madhura Nagar, Vijayawada, Andhra Prad.."
MDVB,MANDAR VIDYAPITH H,ER,"Bhagalpur-Hansdiha Road, Bihar 813103,.."
MDVE,MAHENDRAVADI,SR,"Unnamed Road, Koothambakkam, Tamil Nad.."
MDVK,MAHADEOKHEDI,WCR,"Mahadevi Rd, Challakere, Karnataka 577.."
MDVL,MANDAVALLI,SCR,"Mandavalli, Andhra Pradesh, India"
MDVR,MADHAVNAGAR,CR,"Sangli, Maharashtra, India"
MDW,MARWAR MUNDWA,NWR,"Mundwa, Rajasthan, India"
MDWI,MANDAWARI,NWR,
MDXR,MUDARIA,SECR,"Madurai, Tamil Nadu, India"
ME,MASAIPET,SCR,"Masaipet, Andhra Pradesh, India"
MEC,MERTA CITY,NWR,"Merta, Rajasthan, India"
MED,MEDCHAL,SCR,"Medchal, Secunderabad, Andhra Pradesh,.."
MEE,METHAI F,ECR,"Mathahi, Bihar, India"
MEH,MELALATHUR,SR,"Melattur, Tamil Nadu, India"
MEJ,VANCHI MANIYACHCHI,SR,"Maniyachchi Station, Tamil Nadu, India"
MEKM,MELAKKONNAKKULAM,SR,"Ernakulam, Kerala, India"
MEL,MARINE LINES,WR,"Marine Lane, Sonapur, Marine Lines, Mu.."
MELH,MELUSAR,NWR,"Melusar, Rajasthan, India"
MEM,MAU AIMMA,NR,"Bharana, Uttar Pradesh, India"
MENP,MEENAPUR,NFR,"Manipur, India"
MEP,MAHIDPUR ROAD,WCR,"BCI Colony New Junior Road, Nagda, Mad.."
MEQ,MALETHU KANAK,NR,"Uttar Pradesh, India"
MER,METPANJRA,CR,"Nagpur, Maharashtra, India"
MES,MADURAI EAST,SR,"Madurai, Tamil Nadu, India"
MESR,MESRA,ECR,"Hombai, Jharkhand 835215, India"
MET,MALERKOTLA,NR,"Maler Kotla Railway Station, Maler Kot.."
METR,METHI TIKUR,NR,"Unnao, Uttar Pradesh, India"
MEU,MENDU H,NER,"Mendi, Rajasthan, India"
MEW,MARHAURA,NER,"Marhowrah, Bihar 841418, India"
MEX,MUKERIAN,NR,"Mukerian, Punjab, India"
MFA,MUKURIA,NFR,"Mukuria Railway Station, Bihar, India"
MFB,MUSTAFABAD,NR,"Mustafabad, Haryana, India"
MFC,MONABARI,NFR,"Monabari, Assam, India"
MFCK,MUSTAPHACHAK,SER,"West Bengal 713401, India"
MFH,MAHRAULI,NR,"Mehrauli, New Delhi, Delhi, India"
MFJ,MUFTIGANJ,NER,"Mufti Ganj, Uttar Pradesh, India"
MFKA,MUSAFIR KHANA,NR,"Uttar Pradesh, India"
MFL,MISRAULI,NR,"Pratapgarh, Uttar Pradesh, India"
MFM,MAHALAM,NR,"152002, India"
MFP,MUZAFFARPUR JN,ECR,"Muzaffarpur Railway Station, Muzaffarp.."
MFQ,MAHROI,WCR,"Madhya Pradesh, India"
MFR,MANDLA FORT,SECR,"Mandla Fort, Madhya Pradesh, India"
MFX,MADARAHA,NCR,"Bara Khas, Uttar Pradesh 212107, India"
MFZ,MALAHAR,NFR,"Malhar Cinema Rd, Ludhiana, Punjab 141.."
MG,MODELGRAM,NR,"Model Gram Community Center, Kochar Ma.."
MGAE,MORGRAM,ER,"Murshidabad, West Bengal, India"
MGB,MUDIGUBBA,SCR,"Mudigubba, Andhra Pradesh, India"
MGC,MUGAT,SCR,"Nanded, Maharashtra, India"
MGD,MUGAD,SWR,"Mugad, Karnataka, India"
MGDR,MAGARDHARRA PH,SECR,"Magardarra, Madhya Pradesh 481001, India"
MGE,MIGRENDISA,NFR,"788830, India"
MGF,MANDAGERE,SWR,"Hassan, Karnataka, India"
MGG,MANGLIYA GAON,WR,"Mangliya Gaon, Manglia, Madhya Pradesh.."
MGI,MANIGACHI,ECR,India
MGK,MULAGUNNATHUKAVU,SR,"Mulagunnathukavu Railway Station, Thri.."
MGKM,MUNGAIAKAMI,NFR,"Mungiyakami, Tripura, India"
MGKP,MANSINGH KA PURA,NCR,"Gadhia Pratappura, Uttar Pradesh 28311.."
MGL,MANGELA,SWR,"Mangela, Andhra Pradesh, India"
MGLE,MANIGRAM,ER,"Murshidabad, West Bengal, India"
MGLP,MANGOLPURI,NR,"Shakurbasti, Pitampura, New Delhi, Del.."
MGM,MURAGACHA,ER,"Muragacha, West Bengal, India"
MGME,MCCLUSKIEGANJ,ECR,"Jharkhand 829210, India"
MGN,MEGHNAGAR,WR,"Madhya Pradesh, India"
MGPA,MUNDA GOPAL ASHRAM H,NER,"Uttar Pradesh, India"
MGPI,MANGARAPATTI HALT,ECR,
MGR,MONGHYR,ER,"Munger, Bihar 811201, India"
MGRD,MAGARDOH,CR,"Gurgunda, Madhya Pradesh 460440, India"
MGRL,MANGROLLA,WR,"Mangrolia, Gujarat, India"
MGRP,MEGHRAJPURA,NR,"Rajpura, Punjab, India"
MGRR,MAGARPUR,NCR,"Uttar Pradesh, India"
MGT,MAGRA HAT,ER,"Magra Hat, West Bengal, India"
MGV,MOLAGAVALLI,SCR,"Molagavalli, Andhra Pradesh, India"
MGVK,MALEGAON VYENKU,SECR,"Nagpur, Maharashtra, India"
MGW,MAGARWARA,NR,"Magarwara, Uttar Pradesh, India"
MGWD,MAHANGARWAL DOABA,NR,"Punjab 144530, India"
MGWN,MAHGAWAN H,NR,"Mahgawan, Mehgaon, Madhya Pradesh, India"
MGZ,MAHARAJGANJ,NER,"Maharajganj, Uttar Pradesh, India"
MH,MAHURI H,ECR,"Mahuri, Bihar, India"
MHA,MARAHRA,NER,"Marehra, Uttar Pradesh, India"
MHAD,MOHADI PRGN LNG,CR,"Dhule, Maharashtra, India"
MHBA,MATHABHANGA,NFR,"Bhangamore - Mathabhanga Rd, Khaterbar.."
MHBG,MAHADEVA BUZURG H,NER,"Audahi, Uttar Pradesh, India"
MHBT,MAHABUBNAGAR TOWN H,SCR,"Mahbubnagar, Andhra Pradesh, India"
MHBZ,MAHTHA BAZAR H,NER,"Mahmudwa Grant-Shohratgarh Rd, Chhatah.."
MHC,MASRAKH,NER,"Masrakh, Mashrakh, Bihar, India"
MHD,MHMDVD KHEDA RD,WR,"Mahemdabad, Gujarat, India"
MHDA,MAHADIYA,ECR,"Bargawan - Singrauli Rd, Gorbi, Madhya.."
MHDB,MAHADIA PH,ECOR,"Kantio Putasahi, Parjang-Pandua Rd, Ka.."
MHF,MOHARI,NCR,"Mohadi, Maharashtra, India"
MHH,MAGHAR,NER,"Maghar Railway Station, Maghar, Uttar .."
MHHR,MAHESRA H,NR,"Mahora, Maharashtra, India"
MHI,MANIHARI,NFR,"Bihar, India"
MHJ,MAHAJAN,NWR,"Bikaner, Rajasthan, India"
MHKT,MOHKHUTI,NFR,"Moumari Mohkhuti Rd, Dhing, Assam, India"
MHL,MAHWAL,ECR,"Bihar, India"
MHLN,MAHENDRALALNAGAR,SER,"Maju Rd, Dhasa, Shankarhati, West Beng.."
MHLT,MAHESH LETA H,ECR,"Sohania Chak, Bihar 811310, India"
MHMB,MAHIMBA H,SCR,"Maharashtra, India"
MHN,MAHANADI,NFR,River Mahanadi
MHNR,MAHESH NAGAR HALT,NWR,"Rajasthan, India"
MHO,MAHPUR,NER,"Ghazipur, Uttar Pradesh, India"
MHOW,MHOW,WR,"Mhow, Madhya Pradesh, India"
MHP,MUHAMMADPUR,ECR,"Muhammadpur, Uttar Pradesh, India"
MHPE,MOHOPE,CR,"Station Rd, Maharashtra 410221, India"
MHPR,MAHIYARPUR,NFR,"Kumaripur, Bihar, India"
MHQ,MAHUDA,SER,"National Highway 32, Jharkhand, India"
MHRG,MAHENDRAGARH,NWR,"Mahendragarh, Haryana, India"
MHRI,MACHHRAULI,NR,"Jhajjar, Haryana, India"
MHRL,MAHRAIL,ECR,"Madhubani, Bihar, India"
MHRN,MAHENDRANATH H,NER,"Mahendra Nath Lake, Bihar"
MHSA,MAHESHPUR HALT,ECR,"Maheshpur Halt Railway Station, Jharkh.."
MHT,MANJHI,NER,"Manjhi, Bihar, India"
MHTR,MALIHATI TALIBPUR ROAD,ER,"Murshidabad, West Bengal, India"
MHU,MANHERU,NWR,"Manheru Railway Station, Haryana 12730.."
MHUA,MAHUDHA,WR,"Mahudha, Gujarat 387335, India"
MHUL,MEHUWALA,NWR,"Mehuwala, Haryana, India"
MHUR,MOHANPUR,ER,"Mohanpur, Katban Chhit, Jharkhand 8141.."
MHV,MAHUVA JN,WR,"Mahuva, Gujarat, India"
MIA,MANIA,NCR,"Mania, Rajasthan, India"
MIAL,MILAVALI H,NCR,"Gwalior West, Madhya Pradesh, India"
MIAN,MIAGRAM H,ER,"Masagram, West Bengal, India"
MID,MADHI,WR,"Madhi, Gujarat, India"
MIDP,MAMIDIPALLE,SCR,"Mamidipalle, Telangana 503003, India"
MIH,MIHRAWAN,NR,"Jaunpur, Uttar Pradesh, India"
MIJ,MAJHDIA,ER,"Majhdia, West Bengal, India"
MIK,MANIKUI,SER,"832401, India"
MIKD,MAHIKHAND HALT,ECR,
MIL,MILAK,NR,"Milak Railway Station, Milak, Uttar Pr.."
MIM,MANIRAM,NER,"Manaram Johri, Rajasthan"
MIN,MIHINPURWA,NER,"Murtiha-Mihipurwa Rd, Kundwa, Uttar Pr.."
MINA,MIYANA,WCR,"Guna, Madhya Pradesh, India"
MINJ,MAIKALGANJ,NR,"Maikalganj, Uttar Pradesh, India"
MIO,MOLISAR,NWR,"Via India, 86039 Termoli Campobasso, I.."
MIPM,MARRIPALEM PH,ECOR,"Marripalem Railway Station, Vishakhapa.."
MIQ,MIRHAKUR,NCR,"Agra, Uttar Pradesh, India"
MIR,MAIJAPUR,NER,"Maujpur, New Delhi, Delhi, India"
MIRA,MIRA ROAD,WR,"Mira Road, Mira Road East, Mira Bhayan.."
MITA,MITHA,WR,"Banaskantha, Gujarat, India"
MIU,MARIPAT,NCR,"Maripat, Uttar Pradesh, India"
MIW,MIGHAUNA H,NER,"Mighauna, Uttar Pradesh, India"
MIYN,MANIYAN,NFR,"Maniyan Rd, Payyannur, Kerala, India"
MJ,MARWAR JN,NWR,"Pali, Rajasthan, India"
MJA,MEJA ROAD,NCR,"Uttar Pradesh, India"
MJBK,MANJARI BUDRUK,CR,"Manjri Village Road, Manjri Budruk, Pu.."
MJBT,MAJBAT,NFR,"Mazbat, Assam, India"
MJE,MUJNAI,NFR,"Jalpaiguri, West Bengal, India"
MJF,MALKAJGIRI,SCR,"Pilot Raj Kumar Road, Mallikarjuna Nag.."
MJG,MAJHAGAWAN,WCR,"Majhagawan, Madhya Pradesh, India"
MJGP,MAJHGAWANPHATAK,WCR,"Majhgava, Uttar Pradesh, India"
MJH,MAJU PH,SER,"Maju Rd, Maju, West Bengal 711410, India"
MJHL,MAJHAULA H,NR,"Moradabad, Uttar Pradesh, India"
MJHR,MAJHIARI,NCR,"Majhiaon, Jharkhand, India"
MJKN,MAJRI KHADAN,CR,"Kona, Maharashtra, India"
MJL,MAJHOWLIA,ECR,"Majhowlia, Bihar, India"
MJM,MANJHAULI GRAM H,ECR,"Rukunpura, Bihar 803202, India"
MJN,MAKUM JN,NFR,"Makum Jn, A T Rd, Makum, Assam, India"
MJNL,MAJRI NANGAL,NWR,"Nangal, Punjab, India"
MJO,MAJORDA,KR,"Majorda Railway Station, Majorda, Goa,.."
MJP,MOHARAJPUR,ER,"Sahibganj, Jharkhand, India"
MJPB,MANJHRA PURAB,NER,"Tela Gauri, Uttar Pradesh 271855, India"
MJR,MINJUR,SR,"Minjur, Tamil Nadu, India"
MJRI,MAJRI JN,CR,"Chandrapur, Maharashtra, India"
MJS,MANJESHWAR,SR,"Manjeshwar, Kerala, India"
MJT,MAJERHAT,ER,"Majerhat, Mominpur, Kolkata, West Bengal"
MJTA,MAJITHA,NR,"Majitha, Punjab, India"
MJV,MANJHAGARH,NER,"Mahendragarh, Haryana, India"
MJY,MARAMJHIRI,CR,"Maramjhiri Railway Station, Madhya Pra.."
MJZ,MAJHOLA PAKARYA,NER,"Pakaria Vijaypur, Uttarakhand 262305, .."
MK,MIRANPUR KATRA,NR,"Miranpur Katra, Uttar Pradesh, India"
MKA,MOKAMEH JN,ECR,"Mokama, Mokameh Khas, Bihar 803302, In.."
MKAK,MUNDAKAKANNI AMMAN KOIL,SR,"Mundakanni Amman Kovil, Kalvi Varu St,.."
MKB,MANKATHA,ECR,"Lakhisarai, Bihar, India"
MKBH,MANWALA KOT BAKHTU,NWR,"Mannwala, Punjab, India"
MKC,MAKSI,WR,"Shajapur, Madhya Pradesh, India"
MKD,MARKUNDI,WCR,"Markundi, Madhya Pradesh, India"
MKDD,MUKUNDA WADI H,SCR,"Mukund Rao Ambedkar Nagar, Chembur, Mu.."
MKDI,MAKUDI,SCR,"Makudi Station, Maharashtra, India"
MKDM,MA KALIKAN DHAM,NR,"Pratapgarh, Uttar Pradesh, India"
MKDN,MORKADHANA,CR,"Madhya Pradesh, India"
MKG,MANAK NAGAR,NR,"Manak Nagar Railway Station, Alambagh,.."
MKGD,MANIKAGODA,ECOR,Orissa
MKH,MALAKHERA,NWR,"Alwar, Rajasthan, India"
MKHI,MAKHI,NR,"Makhi, Punjab, India"
MKHR,MARWAR KHARA,NWR,"Jodhpur, Rajasthan, India"
MKHS,MOKAR HALT,ECR,"Mokar, Bihar, India"
MKJ,MAKKAJIPALLI,SWR,"Mallepalli, Andhra Pradesh, India"
MKK,KODAMBAKKAM,SR,"Kodambakkam, Chennai, Tamil Nadu, India"
MKL,MAKLIDRUG,SWR,"Karnataka 561203, India"
MKLI,MAKRAULI,NR,"Makrauli Kalan, Haryana, India"
MKM,MARIKUPPAM,SWR,"Kolar Gold Fields, Karnataka, India"
MKMN,MOKHRA MADINA,NR,"Mokhra, PIN - 124022, Dist. - Rohtak S.."
MKN,MAKRANA JN,NWR,"Makarana Railway Station, Makrana, Raj.."
